ID,Category,Text,Detected Language,Expected Sentiment,Predicted Sentiment,Expected Sarcasm,Predicted Sarcasm,Expected Toxicity,Predicted Toxicity,Toxicity Score,Expected AI Signal,Predicted AI Signal,Model Prediction,Correct?
11,Political / Social,নিরাপদহীন বাংলাদেশ,Bangla,Negative,Negative,No,Yes,Low,Low,1.040143571794033,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
12,Political / Social,"""দেশে কি কারো কোন নিরাপত্তা থাকবে না, বিএনপি সরকার কাছে...""",Bangla,Negative,Negative,No,Yes,Low,Low,1.327754646539688,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
13,Political / Social,এতিম একটা দেশ কি আর করা,Bangla,Negative,Negative,No,Yes,Low,Low,1.0172706209123135,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
14,Political / Social,২৪ স্বাধীনতা পুরো দেশকে cdi দিছে,Bangla,Negative,Negative,No,Yes,High,Low,1.1916902214288712,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
15,Political / Social,"""ছাগলে কি ইনা খায়, হুজুরেরা গু খেয়ে কি না কয়...""",Bangla,Negative,Negative,No,Yes,High,Low,1.5020421147346497,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
16,Political / Social,"""১৫ বছরের একটা মেয়ে বিয়ে করে যে মানুষ... সে একজন অপরাধী। অপরাধকে রোমান্টিসাইজ করার কি দরকার!!!""",Bangla,Negative,Negative,No,No,Low,Medium,3.376647472381592,Yellow,Yellow,Negative / Non-Sarcastic / Medium toxicity -> Yellow,Yes
17,Political / Social,"""মানুষ এত নির্দয় কেমনে হতে পারে? ধর্ম অবমাননা করলেই মে/রে ফেল/তে হবে? এ কেমন বিচার বি:দ্র - কমেন্ট বন্ধ করে দিলাম। তোরাও জ্বলে মর""",Bangla,Mixed,Negative,No,Yes,Medium,Medium,3.243821620941162,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
18,Political / Social,"""একজন প্রাপ্তবয়স্ক, অত্যন্ত শিক্ষিত ও সামাজিকভাবে প্রতিষ্ঠিত নারীও ইচ্ছাকৃতভাবে এমনকিছু ব্যক্তিগত মুহূর্তকে public spectacle বানিয়ে... #bluefairylaila""",Mixed,Negative,Unknown,No,No,Medium,Medium,3.3220996856689453,Yellow,Yellow,Unknown / Non-Sarcastic / Medium toxicity -> Yellow,Yes
19,Political / Social,রুচির দুর্ভিক্ষে ভুগছে দেশ ভুগছে সমাজ!,Bangla,Negative,Negative,No,Yes,Low,Low,1.2694361507892609,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
20,Relationship / Social Commentary,"রোমিদি ফ্যান থেকে ঝুলছিল তার প্রিয় বেনারসিটা পরে... [সুইসাইড নোট উদ্ধৃত] ""প্রিয়, আজকের মতো তবে যাই৷ বেলাশেষে তোমার-ই সাইকেলে ফিরে যেতে চাই।"" ...আজই সেই সেলটার দেওয়ালজুড়ে শুধু সাইকেলের ছবি.",Bangla,Negative,Negative,No,Yes,Medium,Medium,2.1471798419952393,Red,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
21,Relationship / Social Commentary,"একজন মহিলা একবার তার ননদকে নিয়ে আমার কাছে এসেছিলেন। ননদের বিয়ে হয়েছে মাত্র ৬ মাস। USG করতে গিয়ে দেখি—বাচ্চা প্রায় ৯ মাসের! আমি তো অবাক হয়ে জিজ্ঞেস করলাম, ""বিয়ে কীভাবে হয়েছে?"" বলল, ""Arrange marriage।"" তখন আর কিছু বুঝতে বাকি রইল না। আমি বলেছিলাম, ""আর কয়েকদিন পরই তো labour pain উঠে যাবে।"" রিপোর্ট করার দুদিন পরই সেই রোগীকে আবার দেখি আমাদের উপজেলা স্বাস্থ্য কমপ্লেক্সে—NVD-এর জন্য এসেছে। এরপর যে মহিলা সেদিন ননদকে নিয়ে এসেছিলেন, তিনি যেন আমার একেবারে fan হয়ে গেলেন। আজ আবার উপজেলা স্বাস্থ্য কমপ্লেক্সে তাঁর সঙ্গে দেখা। হঠাৎ মনে হলো, ননদের কথা জিজ্ঞেস করি। বললাম, ""পরে ননদের বাচ্চার কী হলো?"" খুব স্বাভাবিকভাবেই বললেন, ""মারা গেছে।"" শুনে মনটা খারাপ হয়ে গেল। বললেন, ""বাচ্চা হওয়ার পরই মারা গেছে। বেঁচে থাকলে তো বিয়েটা টিকত না।"" কথাটা শুনে এরপর আর কিছু বলতে পারিনি। শুধু মনে প্রশ্ন রয়ে গেলো।",Bangla,Negative,Negative,No,No,High,Low,1.5212961435317993,Red,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,No
22,Relationship / Social Commentary,"উপস্থাপকের প্রশ্নটি ছিল:""আপনি তো অনেক সুন্দরী, শিক্ষিত—আপনার ডিভোর্স হলো কেন?"" ...নাবিলা হাসান তাঁর সাবেক স্বামী সম্পর্কে বলেন—সন্তান জন্ম দেওয়ার পর আমার শারীরিক পরিবর্তন মেনে না নিয়ে... স্লিপিং পিল খেয়ে হাসপাতালে ভর্তি হতে বাধ্য হলেও... ৭৭ থেকে ৫৮ কেজিতে নেমে এলেও সেই পাষণ্ডের মনে কোনো অনুশোচনা জন্মায়নি...",Bangla,Negative,Mixed,No,No,Medium,Medium,2.9718981981277466,Red,Yellow,Mixed / Non-Sarcastic / Medium toxicity -> Yellow,No
23,Relationship / Social Commentary,"এই ভদ্রলোক কে অনেকেই চিনে থাকবেন৷ Nahid Official পেইজের মালিক,নাহিদ ভাই। শুধুমাত্র 'হিংসা' করে কে বা কারা জানি উনার পেইজ টা কে রিপোর্ট করে ফেসবুক থেকে সরিয়ে দিয়েছে... 'যে আমার ক্ষতি টা করেছে,তার জন্য আমি দোয়া করি। সে ভালো থাক!' ...আপনি হেরে গেলেন, সে জিতে গেলো",Bangla,Positive,Positive,No,No,Low,Low,1.919244110584259,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
24,Relationship / Social Commentary,"""একটা মেয়ে নেদারল্যান্ডসে পড়তে যাচ্ছে... কয়েকশ মহিলা মন্তব্য করেছে সে খারাপ মা... আপনাদের বরেরা বাচ্চা হওয়ার সাথে সাথে বাচ্চা আপনাকে গচিয়ে দিয়ে ফুর্তি করে বেড়ায়..."" [trimmed]",Bangla,Negative,Negative,No,Yes,Medium,High,4.2718775272369385,Yellow,Red,Negative / Sarcastic / High toxicity -> Red,No
25,Relationship / Social Commentary,"""Akdom dhik. Amar kono purush kei dorkar nai...""",Banglish,Negative,Unknown,No,No,Low,Low,1.180768460035324,Yellow,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,Yes
26,Relationship / Social Commentary,"""তোমার স্ক্রিনশট কমেন্টের বেশিরভাগই তো ব্যাডা!...""",Bangla,Negative,Negative,No,Yes,Medium,Low,1.6196194291114807,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
27,Relationship / Social Commentary,"""এই দেশের অনেক মেয়েদেরই এমন মানসিকতা...""",Bangla,Negative,Positive,No,No,Low,Low,1.8880110383033752,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
28,Relationship / Social Commentary,"""সো সো লাভিং হাসবেন্ড। ১৫ বছর বয়সী বৌ... বাইরের খাবার খুব পছন্দ তার... পুষ্টিবিদের কাছে আসতে হয়েছে।""",Bangla,Negative,Negative,Yes,No,Medium,Low,1.8133734464645386,Yellow,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,Yes
29,Relationship / Social Commentary,"""পানির জন্য আজ ৪দিন ধরে গোসল করিনা করতে পারি না... ৮দিন পর সিজার ডেট।""",Bangla,Negative,Negative,No,Yes,Medium,Low,1.060708075761795,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
30,Relationship / Social Commentary,হাসবেন্ড বলে নাই জন্য কি নিজের মুখ নাই। ব্যডা রে বলতে পারেন নাই পানি আন,Bangla,Negative,Negative,No,Yes,Low,Low,1.624451458454132,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
31,Relationship / Social Commentary,"""৬বছর ধরে স্যাক্রিফাইস করছি...আলু ভর্তা করে খাও... তওবা করেছি আর না।""",Bangla,Negative,Negative,No,Yes,Low,Low,1.0670896172523499,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
32,Relationship / Social Commentary,"""এই ব্যাডার বাচ্চা জন্ম দিয়ে রাস্তায় ফেলে দিয়ে আপনিও পালান... কোন লেভেলের পিশাচ...""",Bangla,Negative,Negative,No,Yes,High,High,3.98571515083313,Red,Red,Negative / Sarcastic / High toxicity -> Red,Yes
33,Relationship / Social Commentary,নাটকিও কথা যতসব পানি নেই তো ওয়াস রুম কিভাবে ব্যবহারকরে...,Bangla,Negative,Negative,No,Yes,Medium,Low,1.3033636212348938,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
34,News / Informational,"আমার বন্ধু আগামী চক্রবর্তী এবং তার পরিবারকে হত্যার বিষয়ে সরেজমিনে দেখা এবং আমার কিছু অভিমত- ...(long forensic/investigative counter-narrative naming Siddhartha & Mugdho, questioning police account of the quadruple murder)...আগামীরা পরপাড়ে ভালো থাকুক।",Mixed,Negative,Unknown,No,No,Medium,Low,1.7198903560638428,Yellow,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,Yes
35,News / Informational,সার্ট কাহিনীটাকে আমি প্রথমে AI ভেবেছিলাম... যখন পুলিশ অফিসার সার্ট নিয়ে একটা বিশ্লেষণ দিয়েছেন তখন বুঝতে পারি দুইজনের গায়ে একই রকমের সার্ট...গার্মেন্টস এ যারা ডিজাইন ও ফ্যাব্রিকের ষ্ট্রাইক অফ নিয়ে কাজ করে তারা...এটা সহজেই ধরা সম্ভব যে এই সার্ট মুলত দুইটা সার্ট নয় বরং একটাই সার্ট...,Bangla,Neutral,Negative,No,Yes,Medium,Low,1.2183938324451447,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
36,News / Informational,"Japan's Prime Minister Sanae Takaichi has opened up about feeling lonely while working long hours at her official residence. She said she chose not to kill a cockroach because she believed it could be part of the cycle of reincarnation. After her staff removed it, Takaichi said she felt relieved but also ""a little lonely, or maybe sad."" Known for working late and sleeping as little as three hours, she prefers working alone. Source: The Telegraph | TBS",English,Neutral,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
37,News / Informational,Portable smoke alarm — A recent post about smoke alarms inspired me to make this post... [full English hobbyist text as originally given — text was truncated at source and never completed],English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
38,News / Informational,"""রানাঘাট স্টেশনের রানু মণ্ডল... ডিজিটাল পভার্টি পর্ন... সোশ্যাল মিডিয়া তাকে তারকা বানায়নি, বরং তাকে [ভাগাড়ে ছুঁড়ে ফেলেছে]... মানসিক ভারসাম্যহীন মানুষের দুর্দশাকে সস্তা বিনোদনের খোরাক বানিয়ে অর্থ উপার্জন করা হয়।"" [trimmed]",Bangla,Negative,Negative,No,Yes,Low,High,3.5596060752868652,Yellow,Red,Negative / Sarcastic / High toxicity -> Red,No
39,Sarcastic,"সব মিথ্যা অভিযোগ, ডিএনএ টেস্ট ইহুদিদের ষড়যন্ত্র",Bangla,Negative,Negative,Yes,Yes,High,Low,1.9176742434501648,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
40,Sarcastic,Me and the toxic guy I'm obsessed with cause he spoke to me once when I was sad and lonely,English,Neutral,Neutral,Yes,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
41,Sarcastic,হয়তো প্রেমে চ্যাকা খেয়ে গলায় ফাঁসি দিয়েছে 😁,Bangla,Negative,Negative,Yes,Yes,High,Medium,2.2852216958999634,Red,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
42,Sarcastic,কনফার্ম জান্নাতি 😄,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
43,Sarcastic,Kondom dorghotonai jormo ader,English,Negative,Neutral,Yes,No,Low,Low,1,Yellow,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,No
44,Sarcastic,দেশ সংস্কার করছে সংস্কারবাদীরা,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.0034734848886728,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
45,Sarcastic,আই হ্যাভ এ প্ল্যান,Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
46,Sarcastic,লাল স্বাধীনতা,Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
47,Sarcastic,কোপা সামসু কোপা-,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0005665458738804,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
48,Sarcastic,"""আপনাদের কোন ছেলে খালি পকেটেও বিয়ে করবে না...""",Bangla,Negative,Negative,Yes,Yes,Medium,Medium,2.3032453060150146,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
49,Sarcastic,আবার মেয়েরা বিয়ে না করতে চাইলেও ওদের দুঃখের শেষ নাই!,Bangla,Negative,Negative,Yes,Yes,Low,Medium,2.421907067298889,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
50,Sarcastic,তাহলে তো স্বপ্নদোষ হইলে সেটা গনহত্যার শামিল,Bangla,Negative,Negative,Yes,Yes,Medium,Medium,2.3441132307052612,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
51,Sarcastic,"""পশুর আবার জন্ম নিয়ন্ত্রণ...""",Bangla,Positive,Negative,Yes,Yes,Low,Low,1.043385073542595,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
52,Sarcastic,বাস্তব নাকি রুপকথার গল্প??,Bangla,Neutral,Positive,Yes,No,Low,Low,1.0114520285278559,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
53,Sarcastic,বুড়ী আর কত লীলা দেখাবে,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
54,Sarcastic,"বাড়ি থেকে আমার জন্য ফ্যামিলি এই মেয়ে টা কে দেখেছে 🙂 মেয়ে নাকি ৫ওয়াক্ত নামায পরে ,ভালো রান্না পারে। মাসে ভালো টাকা ইনকাম করে ,অনলাইন ফিন্যান্স করে আর কি,এখন কি আমি রাজী হব? আপনাদের মতামত জানতে চাই 😇",Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.6209020018577576,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
55,Sarcastic,"RIP Duolingo — [commenter wrote ""duilingo"" as ""২ লিঙ্গ""]",English,Neutral,Neutral,Yes,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
56,Sarcastic,বিচার না করবেন কাকা কইলেন 🤣,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.2991843223571777,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
57,Sarcastic,অনেক দিন পরে জামাতে আমির সাহেব একটা ভালো মন্তব্য করেছেন,Bangla,Negative,Positive,Yes,No,Low,Low,1.0664616972208023,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
58,Sarcastic,"মুরুব্বি উঁহু, উঁহু।",Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.0863333344459534,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
59,Sarcastic,ইয়া হাবিবি 🤣🤣🤣🤣🤣,Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.1433259844779968,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
60,Sarcastic,আগাছা বট গাছকে দমক দেয়।,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0221425630152225,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
61,Sarcastic,মুরুব্বি ফাঁসির রসি পাক দিতে থাকেন! 🥴,Bangla,Negative,Negative,Yes,Yes,High,Medium,2.8387964963912964,Red,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
62,Sarcastic,টুনটুনি মনে হয় কাপচে,Bangla,Negative,Negative,Yes,Yes,High,Low,1.0,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
63,Toxic / Abusive,"""১৫ যখন ৩৫ হবে তখন যেন এমনই লাভিং থাকে... কচি লাউ ডগা...""",Bangla,Negative,Negative,No,Yes,High,Low,1.106181189417839,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
64,Toxic / Abusive,এই মহিলা পেডোফাইল-পার্ভার্ট। তার জন্য সোশ্যাল শেইমের পর্দা নাই।,Bangla,Negative,Negative,No,Yes,High,Low,1.0,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
65,Meme / Humor / Fun,"সিফাত নামের একজনকে আটক করেছে পুলিশ। তার বিরুদ্ধে অভিযোগ সে একজনকে খুন করেছে। তো সাংবাদিক ভাই ও বোনেরা গেছে ক্যামেরা নিয়ে তাকে ভিডিও করতে। ক্যামেরা দেখে সিফাত ভাব নিয়েছে। অবিকল পুষ্পা স্টাইলে সে দাড়িতে তা দিয়েছে। সেই ক্লিপ ভাইরাল হয়েছে। হাজার হাজার মানুষের চোখে সে রাতারাতি হিরো হয়ে গেলো। রাজনীতিবিদরা অলরেডি চিন্তা শুরু করলো, এই সিফাতকে কীভাবে কাজে লাগানো যায়। দুদিন পরের ঘটনা। সেই সিফাতকে আদালতে তোলা হয়েছে। আবার ক্যামেরা, আবার সাংবাদিক। সিফাত কেবল মাত্র দাড়িতে তা দেয়ার প্রিপারেশন নিচ্ছে, এরই মধ্যে ... কে বা কাহারা টান দিয়ে তার লুঙ্গি খুলে দৌড় দিয়েছে ... সামান্য কয়েক সেকেন্ডের ভিডিও। সিফাত এবং ভক্তকুলের ক্যারিয়ার পুরো শেষ। পাবলিক আর ভয় পাচ্ছে না। এদেরকে কিছুতেই ভয় দেখানো যাচ্ছে না।",Bangla,Mixed,Negative,Yes,Yes,Medium,Medium,2.79323947429657,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
66,Social (Medical / Concerning Topic),"মাত্র ৩০ বছর বয়সেই উনার জরায়ু ফেলে দিতে হলো! অবাক করার মতো বিষয়, বাচ্চার বয়স ৩৫ সপ্তাহ+ কিন্তু তবুও উনি কখনো একবারের জন্যও ডাক্তার দেখাননি নূন্যতম একটা আল্ট্টাও করেননি! উনি ভর্তি হইছেন, প্রচন্ড রক্তক্ষরন,পেট ব্যাথা নিয়ে.. জরুরি ভিত্তিতে সব পরীক্ষা নিরীক্ষার পর দেখা গেলো উনার Placenta Accreta spectrum disorder with DM.. দ্রুত ওটিতে নেওয়া হলো, বাসায় নরমাল ডেলিভারী চেষ্টা করার কারনে ও অবহেলায় এ মায়ের অবস্থা তখন খুব খারাপ, ডাক্তারদের অক্লান্ত পরিশ্রমে বাচ্চাটা নিরাপদে বের করতে পারলেও মায়ের রক্ত ক্ষরণ বন্ধ করা যাচ্ছিলো না, শেষ পর্যন্ত জরায়ু কেটে ফেলতে হয়.. যদি উনি আগে থেকে জানতেন,নিয়মিত ফলোআপে থাকতেন,ডায়বেটিস নিয়ন্ত্রণে রাখতেন, তাহলে এত অল্প বয়সে হয়তো জরায়ু ফেলে দেওয়া লাগতোনা.. Dr. Abdur Rahman",Bangla,Negative,Negative,No,Yes,Low,Medium,2.5765613317489624,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
67,Social (Medical / Concerning Topic),বাচ্চা পেটে থাকতে ডাক্তার দেখায়নি অথচ এখন জরায়ু ফেলে দেওয়ার কারণে মহিলার সংসার টিকে কি-না সন্দেহ।,Bangla,Negative,Negative,No,Yes,Medium,Low,1.9130491018295288,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
68,Opinion / Advice,"জ্ঞান, শিক্ষা আর সাফল্য থাকলেই মানুষ পরিণত হয় না; কখন কোথায় থামতে হয়, সেটাও এক ধরনের প্রজ্ঞা। শেষ পর্যন্ত মানুষকে তার অর্জন নয়, তার রুচি, সংযম আর বিবেচনাবোধই আলাদা করে চেনায়।",Bangla,Neutral,Neutral,No,No,Low,Low,1.0520930886268616,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
69,Positive,"Pink Bus, moving women forward with confidence, freedom and possibility.",English,Positive,Neutral,No,No,Low,Low,1,Green,Yellow,Neutral / Non-Sarcastic / Low toxicity -> Yellow,No
70,Positive,নানু বাড়ির উপহার,Bangla,Positive,Negative,No,Yes,Low,Low,1.0,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
