ID,Category,Text,Why this Label?,Expected Sentiment,Expected Sarcasm,Expected Toxicity,Expected AI Signal,UI Signal Text,Special Flags,Status,Model Prediction,Correct?
157,Negative/Non-Toxic,I'm really disappointed that the flight got delayed again.,"Mundane personal complaint. Negative but not directed at anyone, not toxic — mirrors Bangla precedent rows for mild personal negativity (treated as Green, not automatically escalated).",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
158,Negative/Non-Toxic,This has been one of the hardest weeks of my life.,"Personal hardship statement, no target, no toxicity.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
159,Negative/Non-Toxic,I don't think this plan is going to work out.,"Negative opinion, not toxic, no target.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
160,Negative/Non-Toxic,The customer service here was quite slow today.,"Mild service criticism, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
161,Negative/Non-Toxic,I'm feeling pretty stressed about the upcoming exams.,"Personal stress disclosure, no risk content.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
162,Negative/Non-Toxic,"Honestly, the movie was boring and too long.","Negative opinion about media, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
163,Negative/Non-Toxic,I regret not studying harder for that test.,"Personal regret, no target, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
164,Negative/Non-Toxic,The traffic this morning was absolutely frustrating.,"Mundane frustration, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
165,Negative/Non-Toxic,I'm upset that the project got cancelled at the last minute.,"Personal disappointment, no target, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
166,Negative/Non-Toxic,This product didn't meet my expectations at all.,"Negative product review, not toxic.",Negative,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
167,Toxic/Insults,"You are such an idiot, I can't believe you did that.",Direct personal insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
168,Toxic/Insults,"Shut up, nobody asked for your stupid opinion.",Dismissive insult with hostility.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
169,Toxic/Insults,You're completely useless and everyone knows it.,Severe personal insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
170,Toxic/Insults,Only a moron would think that's a good idea.,Insult targeting intelligence.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
171,Toxic/Insults,You're a pathetic excuse for a teammate.,Direct demeaning insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
172,Toxic/Insults,"Get lost, you worthless piece of garbage.",Severe insult with dehumanizing language.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Obscene,Ready,,
173,Toxic/Insults,You're too dumb to understand basic instructions.,Insult targeting intelligence.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
174,Toxic/Insults,"Everyone thinks you're a joke, just admit it.",Public humiliation-style insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
175,Toxic/Insults,"You disgust me, I can't stand being around you.",Severe personal insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Severe toxic,Ready,,
176,Toxic/Insults,"What a loser, you can't do anything right.",Direct demeaning insult.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,,Ready,,
177,Threats/Violence,I will kill a man for sure.,Explicit violent threat — the original failing example that motivated this validation set.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
178,Threats/Violence,I'm going to find you and hurt you badly.,Direct personal threat of violence.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
179,Threats/Violence,"Watch your back, I'll make you pay for this.",Implied threat with hostile intent.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
180,Threats/Violence,I will burn your house down if you do that again.,Explicit property-destruction threat.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
181,Threats/Violence,"You better run, because I'm coming for you.",Direct threat of pursuit and harm.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
182,Threats/Violence,I'll break every bone in your body.,Graphic violent threat.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat; Severe,Ready,,
183,Threats/Violence,Say that again and I will end you.,Conditional violent threat.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
184,Threats/Violence,I swear I will make your life a living hell.,Ongoing-harm threat.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
185,Threats/Violence,Touch my stuff again and you'll regret it forever.,Conditional threat of retaliation.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
186,Threats/Violence,"I'm going to hunt you down, mark my words.",Direct pursuit threat.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Threat,Ready,,
187,Sarcastic/Ambiguous,"Oh great, another Monday, just what I needed.","Sarcastic complaint, no real hostility or target.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
188,Sarcastic/Ambiguous,"Wow, thanks for absolutely nothing.","Sarcastic, mildly negative, no severe toxicity.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
189,Sarcastic/Ambiguous,"Yeah right, like that's ever going to happen.","Sarcastic disbelief, not toxic.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
190,Sarcastic/Ambiguous,"Sure, because that plan worked out so well last time.","Sarcastic criticism of a plan, not a person.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
191,Sarcastic/Ambiguous,"Oh fantastic, the printer is broken again. Love that.","Sarcastic frustration, not toxic.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
192,Sarcastic/Ambiguous,Nice job breaking the build right before the demo.,"Sarcastic workplace criticism; borderline toward mild insult but aimed at an action, not a person's worth.",Negative,Yes,Medium,🟡 Yellow,🙃 This post may not mean exactly what it says.,Borderline,Ready,,
193,Sarcastic/Ambiguous,I just love waiting an hour for a five minute meeting.,"Sarcastic complaint about time-wasting, not toxic.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
194,Sarcastic/Ambiguous,"Oh sure, blame me for your mistake, that makes sense.","Sarcastic pushback, not toxic.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
195,Sarcastic/Ambiguous,"Great, you 'fixed' it and now nothing works. Well done.","Sarcastic criticism of a fix; borderline toward mild insult but aimed at the outcome, not the person's worth.",Negative,Yes,Medium,🟡 Yellow,🙃 This post may not mean exactly what it says.,Borderline,Ready,,
196,Sarcastic/Ambiguous,"Perfect, another delay. Exactly what this project needed.","Sarcastic frustration about a delay, not toxic.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
