ID,Category,Text,Why this Label?,Expected Sentiment,Expected Sarcasm,Expected Toxicity,Expected AI Signal,UI Signal Text,Special Flags,Status,Model Prediction,Correct?
11,Political / Social,নিরাপদহীন বাংলাদেশ,Blunt declaration of national insecurity.,Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,,Ready,,
12,Political / Social,"""দেশে কি কারো কোন নিরাপত্তা থাকবে না, বিএনপি সরকার কাছে...""",Political-safety complaint naming a party.,Negative,No,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
13,Political / Social,এতিম একটা দেশ কি আর করা,"Fatalistic ""orphaned country"" lament.",Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,,Ready,,
14,Political / Social,২৪ স্বাধীনতা পুরো দেশকে cdi দিছে,Vulgar profanity aimed at a political outcome/era.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Literal-profanity Red example.,Ready,,
15,Political / Social,"""ছাগলে কি ইনা খায়, হুজুরেরা গু খেয়ে কি না কয়...""","Degrading language about clerics, but used to make an anti-abuse point (implicit CSA accusation context).",Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Condemning abuse — contrast with #T1 (normalizing abuse).,Ready,,
16,Political / Social,"""১৫ বছরের একটা মেয়ে বিয়ে করে যে মানুষ... সে একজন অপরাধী। অপরাধকে রোমান্টিসাইজ করার কি দরকার!!!""","Direct condemnation of child marriage, calling it a crime.",Negative,No,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,Contains Minor,Ready,,
17,Political / Social,"""মানুষ এত নির্দয় কেমনে হতে পারে? ধর্ম অবমাননা করলেই মে/রে ফেল/তে হবে? এ কেমন বিচার বি:দ্র - কমেন্ট বন্ধ করে দিলাম। তোরাও জ্বলে মর""","Opens by condemning mob violence over blasphemy accusations (humane point), but closes with a hostile curse at commenters — internally conflicting stance a single score can't fully capture.",Mixed,No,Medium,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,"Toxicity reflects the closing curse, not the anti-violence core argument.",Ready,,
18,Political / Social,"""একজন প্রাপ্তবয়স্ক, অত্যন্ত শিক্ষিত ও সামাজিকভাবে প্রতিষ্ঠিত নারীও ইচ্ছাকৃতভাবে এমনকিছু ব্যক্তিগত মুহূর্তকে public spectacle বানিয়ে... #bluefairylaila""","Framed as abstract reflection, but the hashtag ties it to a specific real, named public figure's private moment.",Negative,No,Medium,🟡 Yellow,👀 Know what you're about to read.,Targets Real Named Individual | Targets Real Named Individual: Yes.,Ready,,
19,Political / Social,রুচির দুর্ভিক্ষে ভুগছে দেশ ভুগছে সমাজ!,"General cultural/social critique (""famine of taste""), no specific target.",Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,,Ready,,
20,Relationship / Social Commentary,"রোমিদি ফ্যান থেকে ঝুলছিল তার প্রিয় বেনারসিটা পরে... [সুইসাইড নোট উদ্ধৃত] ""প্রিয়, আজকের মতো তবে যাই৷ বেলাশেষে তোমার-ই সাইকেলে ফিরে যেতে চাই।"" ...আজই সেই সেলটার দেওয়ালজুড়ে শুধু সাইকেলের ছবি.","Literary/narrative depiction of a real or real-feeling suicide (explicit suicide note quoted), tied to financial-dependency strain and wounded masculinity in a marriage. Language itself isn't abusive.",Negative,No,Medium,🔴 Red,🤭 We don't want to ruin your day.,"Self-Harm/Suicide Discussion | Contains Self-Harm/Suicide Depiction — needs its own tag, not just a toxicity score.",Ready,,
21,Relationship / Social Commentary,"একজন মহিলা একবার তার ননদকে নিয়ে আমার কাছে এসেছিলেন। ননদের বিয়ে হয়েছে মাত্র ৬ মাস। USG করতে গিয়ে দেখি—বাচ্চা প্রায় ৯ মাসের! আমি তো অবাক হয়ে জিজ্ঞেস করলাম, ""বিয়ে কীভাবে হয়েছে?"" বলল, ""Arrange marriage।"" তখন আর কিছু বুঝতে বাকি রইল না। আমি বলেছিলাম, ""আর কয়েকদিন পরই তো labour pain উঠে যাবে।"" রিপোর্ট করার দুদিন পরই সেই রোগীকে আবার দেখি আমাদের উপজেলা স্বাস্থ্য কমপ্লেক্সে—NVD-এর জন্য এসেছে। এরপর যে মহিলা সেদিন ননদকে নিয়ে এসেছিলেন, তিনি যেন আমার একেবারে fan হয়ে গেলেন। আজ আবার উপজেলা স্বাস্থ্য কমপ্লেক্সে তাঁর সঙ্গে দেখা। হঠাৎ মনে হলো, ননদের কথা জিজ্ঞেস করি। বললাম, ""পরে ননদের বাচ্চার কী হলো?"" খুব স্বাভাবিকভাবেই বললেন, ""মারা গেছে।"" শুনে মনটা খারাপ হয়ে গেল। বললেন, ""বাচ্চা হওয়ার পরই মারা গেছে। বেঁচে থাকলে তো বিয়েটা টিকত না।"" কথাটা শুনে এরপর আর কিছু বলতে পারিনি। শুধু মনে প্রশ্ন রয়ে গেলো।",Medical professional shares an identifiable patient case implying possible deliberate infant harm.,Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Medical; Full Text Recovered,Ready,,
22,Relationship / Social Commentary,"উপস্থাপকের প্রশ্নটি ছিল:""আপনি তো অনেক সুন্দরী, শিক্ষিত—আপনার ডিভোর্স হলো কেন?"" ...নাবিলা হাসান তাঁর সাবেক স্বামী সম্পর্কে বলেন—সন্তান জন্ম দেওয়ার পর আমার শারীরিক পরিবর্তন মেনে না নিয়ে... স্লিপিং পিল খেয়ে হাসপাতালে ভর্তি হতে বাধ্য হলেও... ৭৭ থেকে ৫৮ কেজিতে নেমে এলেও সেই পাষণ্ডের মনে কোনো অনুশোচনা জন্মায়নি...","First-person survivor account of body-shaming, infidelity, and a resulting suicide attempt, shared publicly.",Negative,No,Medium,🔴 Red,🤭 We don't want to ruin your day.,"Self-Harm/Suicide Discussion | Contains Self-Harm Disclosure — survivor testimony, don't group with malicious/abusive content.",Ready,,
23,Relationship / Social Commentary,"এই ভদ্রলোক কে অনেকেই চিনে থাকবেন৷ Nahid Official পেইজের মালিক,নাহিদ ভাই। শুধুমাত্র 'হিংসা' করে কে বা কারা জানি উনার পেইজ টা কে রিপোর্ট করে ফেসবুক থেকে সরিয়ে দিয়েছে... 'যে আমার ক্ষতি টা করেছে,তার জন্য আমি দোয়া করি। সে ভালো থাক!' ...আপনি হেরে গেলেন, সে জিতে গেলো","Discusses someone facing online harassment/report-abuse, framed around forgiveness.",Positive,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
24,Relationship / Social Commentary,"""একটা মেয়ে নেদারল্যান্ডসে পড়তে যাচ্ছে... কয়েকশ মহিলা মন্তব্য করেছে সে খারাপ মা... আপনাদের বরেরা বাচ্চা হওয়ার সাথে সাথে বাচ্চা আপনাকে গচিয়ে দিয়ে ফুর্তি করে বেড়ায়..."" [trimmed]",Defends a working mother against online mom-shaming; sharp generalized language about husbands/fathers pushes toxicity to Medium.,Negative,No,Medium,🟡 Yellow,🌍 This post shares a social perspective worth considering.,Long Post | Trimmed excerpt (long post).,Ready,,
25,Relationship / Social Commentary,"""Akdom dhik. Amar kono purush kei dorkar nai...""",Frustrated declaration rejecting men generally.,Negative,No,Low,🟡 Yellow,🌸 This post shares a personal experience.,,Ready,,
26,Relationship / Social Commentary,"""তোমার স্ক্রিনশট কমেন্টের বেশিরভাগই তো ব্যাডা!...""",Pointed remark about who is commenting/screenshotting.,Negative,No,Medium,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
27,Relationship / Social Commentary,"""এই দেশের অনেক মেয়েদেরই এমন মানসিকতা...""",Generalized critical statement about women's mindset.,Negative,No,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
28,Relationship / Social Commentary,"""সো সো লাভিং হাসবেন্ড। ১৫ বছর বয়সী বৌ... বাইরের খাবার খুব পছন্দ তার... পুষ্টিবিদের কাছে আসতে হয়েছে।""","Sarcastic ""so loving husband"" framing around a very young wife's diet issues.",Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,Contains Minor,Ready,,
29,Relationship / Social Commentary,"""পানির জন্য আজ ৪দিন ধরে গোসল করিনা করতে পারি না... ৮দিন পর সিজার ডেট।""","Personal hardship complaint (no water access, near due date).",Negative,No,Medium,🟡 Yellow,🌸 This post shares a personal experience.,,Ready,,
30,Relationship / Social Commentary,হাসবেন্ড বলে নাই জন্য কি নিজের মুখ নাই। ব্যডা রে বলতে পারেন নাই পানি আন,Blunt reactive comment criticizing passivity.,Negative,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
31,Relationship / Social Commentary,"""৬বছর ধরে স্যাক্রিফাইস করছি...আলু ভর্তা করে খাও... তওবা করেছি আর না।""",Personal frustration/complaint about years of sacrifice in a marriage.,Negative,No,Low,🟡 Yellow,🌸 This post shares a personal experience.,,Ready,,
32,Relationship / Social Commentary,"""এই ব্যাডার বাচ্চা জন্ম দিয়ে রাস্তায় ফেলে দিয়ে আপনিও পালান... কোন লেভেলের পিশাচ...""","Severe accusatory language (""what level of monster"") directed at a person over an alleged abandonment.",Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,,Ready,,
33,Relationship / Social Commentary,নাটকিও কথা যতসব পানি নেই তো ওয়াস রুম কিভাবে ব্যবহারকরে...,"Skeptical/dismissive reaction (""how dramatic"") to a hardship claim.",Negative,No,Medium,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
34,News / Informational,"আমার বন্ধু আগামী চক্রবর্তী এবং তার পরিবারকে হত্যার বিষয়ে সরেজমিনে দেখা এবং আমার কিছু অভিমত- ...(long forensic/investigative counter-narrative naming Siddhartha & Mugdho, questioning police account of the quadruple murder)...আগামীরা পরপাড়ে ভালো থাকুক।",Detailed speculative counter-narrative to an official police investigation into a real quadruple murder; questions evidence handling and names two arrested individuals without asserting innocence or guilt directly — analytical/skeptical tone rather than a fresh accusation.,Negative,No,Medium,🟡 Yellow,📚 This post provides informative content.,,Ready,,
35,News / Informational,সার্ট কাহিনীটাকে আমি প্রথমে AI ভেবেছিলাম... যখন পুলিশ অফিসার সার্ট নিয়ে একটা বিশ্লেষণ দিয়েছেন তখন বুঝতে পারি দুইজনের গায়ে একই রকমের সার্ট...গার্মেন্টস এ যারা ডিজাইন ও ফ্যাব্রিকের ষ্ট্রাইক অফ নিয়ে কাজ করে তারা...এটা সহজেই ধরা সম্ভব যে এই সার্ট মুলত দুইটা সার্ট নয় বরং একটাই সার্ট...,Detailed visual/design analysis disputing an official explanation in a real murder case.,Neutral,No,Medium,🟡 Yellow,📚 This post provides informative content.,,Ready,,
36,News / Informational,"Japan's Prime Minister Sanae Takaichi has opened up about feeling lonely while working long hours at her official residence. She said she chose not to kill a cockroach because she believed it could be part of the cycle of reincarnation. After her staff removed it, Takaichi said she felt relieved but also ""a little lonely, or maybe sad."" Known for working late and sleeping as little as three hours, she prefers working alone. Source: The Telegraph | TBS",Human-interest news story about a public figure's personal reflection.,Neutral,No,Low,🟢 Green,📚 This post provides informative content.,Targets Real Named Individual,Ready,,
37,News / Informational,Portable smoke alarm — A recent post about smoke alarms inspired me to make this post... [full English hobbyist text as originally given — text was truncated at source and never completed],Technical hobbyist post explaining device repair and function.,Positive,No,Low,🟢 Green,📚 This post provides informative content.,Text incomplete at source — only a partial hobbyist description was ever pasted in.,Ready,,
38,News / Informational,"""রানাঘাট স্টেশনের রানু মণ্ডল... ডিজিটাল পভার্টি পর্ন... সোশ্যাল মিডিয়া তাকে তারকা বানায়নি, বরং তাকে [ভাগাড়ে ছুঁড়ে ফেলেছে]... মানসিক ভারসাম্যহীন মানুষের দুর্দশাকে সস্তা বিনোদনের খোরাক বানিয়ে অর্থ উপার্জন করা হয়।"" [trimmed]","Critical journalistic essay on real exploitation of a vulnerable, mentally unstable public figure — the subject matter is exploitation, but the post condemns it rather than participating in it.",Negative,No,Low,🟡 Yellow,📚 This post provides informative content.,Targets Real Named Individual; Long Post | Trimmed; the original had two identical copies (docs 20 & 21) — labeled once.,Ready,,
39,Sarcastic,"সব মিথ্যা অভিযোগ, ডিএনএ টেস্ট ইহুদিদের ষড়যন্ত্র","Combines rape-evidence denial with an antisemitic ""Jewish conspiracy"" trope — stacks two severe harm categories in one line.",Negative,Yes,High,🔴 Red,🤭 We don't want to ruin your day.,,Ready,,
40,Sarcastic,Me and the toxic guy I'm obsessed with cause he spoke to me once when I was sad and lonely,"Self-aware, ironic meme format about being drawn to a toxic person.",Neutral,Yes,Low,🟢 Green,💬 Every post tells a story—we help explain the signals.,,Ready,,
41,Sarcastic,হয়তো প্রেমে চ্যাকা খেয়ে গলায় ফাঁসি দিয়েছে 😁,"Mocks a suspected suicide (hanging) with a laughing emoji, trivializing a real death as a joke about heartbreak — ridiculing a death is severe regardless of tone.",Negative,Yes,High,🔴 Red,🤭 We don't want to ruin your day.,Self-Harm/Suicide Discussion | Mockery of a death/suicide — Concerning Topic: Yes.,Ready,,
42,Sarcastic,কনফার্ম জান্নাতি 😄,Ironic/mocking short reaction.,Negative,Yes,Low,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
43,Sarcastic,Kondom dorghotonai jormo ader,Crude joking phrase (Banglish).,Negative,Yes,Low,🟡 Yellow,👀 Know what you're about to read.,Banglish,Ready,,
44,Sarcastic,দেশ সংস্কার করছে সংস্কারবাদীরা,"Ironic ""the reformers are reforming the country"" jab.",Negative,Yes,Low,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
45,Sarcastic,আই হ্যাভ এ প্ল্যান,Meme-format ironic quote.,Neutral,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
46,Sarcastic,লাল স্বাধীনতা,Ironic short political phrase.,Neutral,Yes,Low,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
47,Sarcastic,কোপা সামসু কোপা-,Mocking meme-format phrase.,Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
48,Sarcastic,"""আপনাদের কোন ছেলে খালি পকেটেও বিয়ে করবে না...""",Sarcastic generalization about men and marriage/money.,Negative,Yes,Medium,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
49,Sarcastic,আবার মেয়েরা বিয়ে না করতে চাইলেও ওদের দুঃখের শেষ নাই!,"Sarcastic ""no-win"" observation about social expectations of women.",Negative,Yes,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
50,Sarcastic,তাহলে তো স্বপ্নদোষ হইলে সেটা গনহত্যার শামিল,Absurdist sarcastic comparison used to mock an argument's logic.,Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
51,Sarcastic,"""পশুর আবার জন্ম নিয়ন্ত্রণ...""",Ironic remark using animal comparison for comic effect.,Positive,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
52,Sarcastic,বাস্তব নাকি রুপকথার গল্প??,"Rhetorical, mildly ironic caption questioning realism of a story/photo.",Neutral,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
53,Sarcastic,বুড়ী আর কত লীলা দেখাবে,"Dismissive, ageist mockery (""how much more drama will the old woman put on""), likely aimed at a real public figure.",Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,Targets Real Named Individual,Ready,,
54,Sarcastic,"বাড়ি থেকে আমার জন্য ফ্যামিলি এই মেয়ে টা কে দেখেছে 🙂 মেয়ে নাকি ৫ওয়াক্ত নামায পরে ,ভালো রান্না পারে। মাসে ভালো টাকা ইনকাম করে ,অনলাইন ফিন্যান্স করে আর কি,এখন কি আমি রাজী হব? আপনাদের মতামত জানতে চাই 😇","The 🙂/😇 emoji pairing is the classic ironic-innocence marker — lists generic ""good wife"" traits while the post is really an indirect character attack on a named/identifiable real person via insinuation.",Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,Targets Real Named Individual | Targets Real Named Individual: Yes (uses a real photo/identifiable subject).,Ready,,
55,Sarcastic,"RIP Duolingo — [commenter wrote ""duilingo"" as ""২ লিঙ্গ""]","Wordplay/pun-based humor (phonetic joke turning ""Duolingo"" into ""two genders/sexes""), no target, no harm — pure linguistic meme humor.",Neutral,Yes,Low,🟢 Green,💬 Every post tells a story—we help explain the signals.,,Ready,,
56,Sarcastic,বিচার না করবেন কাকা কইলেন 🤣,"Mocking quote-format sarcasm (""uncle said so"") aimed at someone dodging accountability/justice.",Negative,Yes,Low,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
57,Sarcastic,অনেক দিন পরে জামাতে আমির সাহেব একটা ভালো মন্তব্য করেছেন,"Backhanded ""finally, a good comment"" framing implies the speaker usually says bad things.",Negative,Yes,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
58,Sarcastic,"মুরুব্বি উঁহু, উঁহু।","Well-known viral meme format (dismissive ""tut-tut"" mimicry of an elder/authority figure being scolded); mocking but not abusive.",Neutral,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
59,Sarcastic,ইয়া হাবিবি 🤣🤣🤣🤣🤣,Mocking use of an Arabic term of endearment; heavy laughing-emoji repetition signals ridicule of an exaggerated or performative tone.,Neutral,Yes,Low,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
60,Sarcastic,আগাছা বট গাছকে দমক দেয়।,"Proverb-style insult (""a weed scolding a banyan tree"") — implies someone insignificant is criticizing someone far more established.",Negative,Yes,Medium,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
61,Sarcastic,মুরুব্বি ফাঁসির রসি পাক দিতে থাকেন! 🥴,"""Keep coiling the hanging rope"" is a mocking-but-literal execution reference aimed at a real target — sarcasm dressed around an actual threat of violence.",Negative,Yes,High,🔴 Red,🤭 We don't want to ruin your day.,Self-Harm/Suicide Discussion; Misinformation | Red-tier reason: threat of violence (vs. severe accusation / hate-speech-trope / misinformation seen elsewhere).,Ready,,
62,Sarcastic,টুনটুনি মনে হয় কাপচে,"""Tuntuni"" used here as slang for male genitalia — vulgar, sexually crude mockery directed at a person, not innocent wordplay.",Negative,Yes,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Category noted as Sarcastic/Toxic-adjacent. Good toxicity ≠ profanity-detection test case (no slur/swear word present).,Ready,,
63,Toxic / Abusive,"""১৫ যখন ৩৫ হবে তখন যেন এমনই লাভিং থাকে... কচি লাউ ডগা...""","Straightforwardly romanticizes child marriage/attraction to a minor (""কচি লাউ ডগা"" is a predatory euphemism).",Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Contains Minor | Normalizing abuse — contrast with #P15 (condemning abuse).,Ready,,
64,Toxic / Abusive,এই মহিলা পেডোফাইল-পার্ভার্ট। তার জন্য সোশ্যাল শেইমের পর্দা নাই।,"Direct, severe, unverified accusation against a real named person, explicitly stripped of any social-shame restraint.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,"Targets Real Named Individual; Misinformation | Most direct/explicit ""severe accusation → Red"" example in the set — no sarcasm, no coding.",Ready,,
65,Meme / Humor / Fun,"সিফাত নামের একজনকে আটক করেছে পুলিশ। তার বিরুদ্ধে অভিযোগ সে একজনকে খুন করেছে। তো সাংবাদিক ভাই ও বোনেরা গেছে ক্যামেরা নিয়ে তাকে ভিডিও করতে। ক্যামেরা দেখে সিফাত ভাব নিয়েছে। অবিকল পুষ্পা স্টাইলে সে দাড়িতে তা দিয়েছে। সেই ক্লিপ ভাইরাল হয়েছে। হাজার হাজার মানুষের চোখে সে রাতারাতি হিরো হয়ে গেলো। রাজনীতিবিদরা অলরেডি চিন্তা শুরু করলো, এই সিফাতকে কীভাবে কাজে লাগানো যায়। দুদিন পরের ঘটনা। সেই সিফাতকে আদালতে তোলা হয়েছে। আবার ক্যামেরা, আবার সাংবাদিক। সিফাত কেবল মাত্র দাড়িতে তা দেয়ার প্রিপারেশন নিচ্ছে, এরই মধ্যে ... কে বা কাহারা টান দিয়ে তার লুঙ্গি খুলে দৌড় দিয়েছে ... সামান্য কয়েক সেকেন্ডের ভিডিও। সিফাত এবং ভক্তকুলের ক্যারিয়ার পুরো শেষ। পাবলিক আর ভয় পাচ্ছে না। এদেরকে কিছুতেই ভয় দেখানো যাচ্ছে না।",Viral schadenfreude post treating a real murder case as entertainment/meme fodder.,Mixed,Yes,Medium,🟡 Yellow,😅 A viral moment mixing humor and real events.,Full Text Recovered,Ready,,
